"","show_title","imdb_rating","release_year","runtime","genre","parental_guideline","imdb_votes","synopsis"
"296","Power Rangers in Space","7.3","1998-1999",30,"Action, Adventure, Family","TV-Y7",3168,"The most evil forces of the universe (Rita & Zedd, the Machine Empire and Divatox) have formed an alliance with the monarch of all evil, Dark Specter. With Zordon as his prisoner, Dark ... See full summary »"
"297","Sailor Moon Crystal","7.9","2014-",24,"Animation, Action, Adventure","TV-14",2076,"Usagi Tsukino is chosen to be a guardian of justice and is sent on a quest to locate a Silver Crystal before the Dark Kingdom invades the Earth."
"298","The Secrets of Isis","6.8","1975-1976",30,"Adventure, Family, Fantasy",NA,1056,"An archaeologist gains an amulet that allows her to transform into the superheroine goddess Isis and fight evil."
"299","Lab Rats: Elite Force","6.5","2016-2019",30,"Adventure, Comedy, Drama","TV-Y7",1348,"When Mighty Med hospital is destroyed, bionic heroes Bree and Chase join superheroes Kaz, Oliver, and Skylar to form an Elite Force and take down those responsible for the attack."
"300","Power Rangers Time Force","7.1","2001",30,"Action, Adventure, Crime","TV-Y7",2364,"The Time Force Power Rangers travel to the past to stop Ransik and his band of criminal mutants."
"301","Speed Racer","7.2","1967-1968",30,"Animation, Action, Adventure","TV-Y7",2890,"Teenager Gô Mifune aspires to be the world's best race-car champion with the help of his friends, family and his father's high-tech race-car, the Mach 5."
"302","TRON: Uprising","8.2","2012-2013",30,"Animation, Action, Adventure","TV-Y7",8146,"In the computer world of the Grid, a young program joins Tron's fight against their world's tyranny."
"303","Birdgirl","5.7","2021-",NA,"Animation, Adventure, Comedy","TV-14",696,"After being named CEO of the world's largest and most non-sensical corporation, Sebben & Sebben, Judy Ken Sebben aka Birdgirl has to find a way to maintain her work/superhero life balance."
"304","Ghostbusters","6.4","1986-1987",25,"Animation, Adventure, Comedy","TV-Y7",2929,"A squad of supernatural investigators are Earth's only defense against an evil ghost wizard and his minions."
"305","Power Rangers DinoThunder","6.8","2004",30,"Action, Adventure, Sci-Fi","TV-Y7",3037,"An eccentric scientist and his partner, veteran Power Ranger Dr. Tommy Oliver, have created Dinosaur like robots called Bio Zords. After their laboratory is attacked by the evil Mesogog, ... See full summary »"
"306","Iron Man: Armored Adventures","6.5","2008-2012",22,"Animation, Action, Adventure","TV-Y7",3481,"A teenage Tony Stark battles evil with his revolutionary power armor technology."
"307","The New Avengers","7.2","1976-1977",60,"Action, Mystery, Thriller",NA,2310,"Secret agent Steed, working for an unnamed branch of British intelligence, is teamed up with two partners to fight evil plots for world domination, dealing with suspended animation, biological warfare, robotics, and other threats."
"308","Power Rangers Megaforce","5.7","2000-2014",24,"Action, Adventure, Family","TV-Y7",1611,"An evil galactic armada has come to destroy the planet Earth and the newest team of Power Rangers must harness powers from Rangers of the past to stop them as the Power Rangers Megaforce."
"309","Bionic Woman","5.8","2007",60,"Action, Sci-Fi, Thriller","TV-PG",8183,"A reimagining of the popular 1970s TV series about a female athlete who is given bionic strength."
"310","OK K.O.! Let's Be Heroes","6.4","2017-2019",11,"Animation, Short, Action","TV-Y7-FV",2786,"An enthusiastic young boy earns a job at a hero supply store and trains to become the ""Greatest Hero Ever."""
"311","Constantine: City of Demons","7.6","2018-2019",6,"Animation, Short, Action","R",5886,"An animated series centering on the adventures of supernatural detective John Constantine."
"312","Spider-Man Unlimited","6.4","1999-2005",22,"Animation, Action, Adventure","TV-Y7",3255,"Spider-Man travels to Counter-Earth to rescue a Terran shuttle crew trapped there and discovers a tyrannical and warped version of his world."
"313","The New Scooby-Doo Movies","7.7","1972-1973",83,"Animation, Adventure, Comedy","TV-G",4759,"The Mystery Inc. gang investigate more supernatural sightings with various guest stars and characters."
"314","Ghost in the Shell SAC_2045","6.3","2020-",25,"Animation, Action, Crime","TV-MA",1958,"Hired as a mercenary unit, the former members of Japan's elite Section 9 are faced with the sudden appearance of ""Post-Human,"" a being with tremendous intelligence and physical capabilities."
"315","Judge Dredd: Mega City One","Not-Rated","TBA",NA,"Action, Adventure, Crime",NA,NA,"Judge Dredd patrols an over-populated metropolis in the 22nd Century, where he has the powers of a judge, jury and executioner."
"316","Johnny Test","5.2","2005-",30,"Animation, Action, Adventure","TV-Y7",8044,"The adventures of average suburban boy Johnny Test, who wittingly plays test subject for his genius twin sisters' various experiments, reluctantly fighting evil villains in the process."
"317","Team Umizoomi","6.1","2010-2015",24,"Animation, Family","TV-Y",863,"Umifriend, Team Umizoomi needs your help! Build a super fast speedboat with shapes. Use pattern power to make chocolate and strawberry milk. Fix a broken subway train and so much more with these tiny super heroes!"
"318","The Super Mario Bros. Super Show!","6.4","1989",30,"Animation, Action, Adventure","TV-Y7",4089,"The Mario Brothers, Princess Toadstool, and Toad go on various adventures while battling the evil King Koopa."
"319","Danger Mouse","7","2015-2019",22,"Animation, Action, Adventure","TV-Y7",556,"The continuing adventures of secret agent Danger Mouse and his sidekick Penfold."
"320","Power Rangers R.P.M.","6.6","2009",22,"Action, Adventure, Comedy","TV-Y7",1700,"In the near future, the mysterious and sinister Venjix Computer Network is attempting to conquer and lay ruin to the entire planet. Mankind has retreated into environmentally-shielded domed... See full summary »"
"321","Legends of the Superheroes","5.8","1979",100,"Action, Comedy, Adventure",NA,526,"A teamup of some of DC Comics' greatest superheroes together, for 2 specials: a race to stop the united supervillains' plot to destroy the earth, then later a roast in tribute to all of the heroes hosted by Ed McMahon."
"322","Mad","5.8","2010-2013",12,"Animation, Comedy","TV-PG",2877,"The animated version of the classic humor magazine satirizes current pop culture."
"323","Superhero Kindergarten","7","2021-",NA,"Animation, Action, Family","TV-Y7",201,"A gym coach acquires incredible superpowers from a mysterious comet and becomes Captain Fantastic, one of the earth's greatest protectors. He works 'undercover' as a kindergarten teacher to raise a new generation of super-powered kids."
"324","Spider-Man and His Amazing Friends","7.2","1981-1986",22,"Animation, Action, Comedy","TV-Y7",3394,"Spider-Man battles crime in New York City with the help of Iceman and Firestar."
"325","Automan","6.9","1983-1984",70,"Adventure, Comedy, Crime",NA,1836,"A computer-generated superhero and his human creator fight crime in the city."
"326","The Incredible Hulk","6.8","1996-1998",20,"Animation, Action, Adventure","TV-Y7",3233,"A nuclear scientist is afflicted with the tendency to change into a powerful green monster under stress."
"327","Code Lyoko","7.3","2003-2007",26,"Animation, Action, Adventure","TV-Y7",5018,"When a group of four boarding school students discover a supercomputer housed inside an abandoned factory, they find a virtual world called Lyoko and awaken a sentient multi-agent system virus that tries to take over the real world."
"328","He-Man and the Masters of the Universe","7.5","2002-2004",30,"Animation, Action, Adventure","TV-Y7",3249,"On the planet Eternia, a young prince gains the ability to become a powerful warrior to defend Castle Grayskull against the dark lord Skeletor."
"329","The Tick","7.8","1994-1997",30,"Animation, Action, Adventure","TV-Y7",9455,"An invulnerable, somewhat dim, superhero protects The City from all manner of evil-doers."
"330","MASK","7.2","1985-1986",22,"Animation, Action, Adventure","TV-Y7",4119,"Matt Trakker leads a special team of masked crime fighters with a fleet of hidden function vehicles against Miles Mayhem and his criminal organization known as V.E.N.O.M."
"331","The Sentinel","6.6","1996-1999",45,"Action, Adventure, Crime",NA,2333,"In the jungles of Peru, the fight for survival heightened his senses. Now, Detective Jim Ellison is a sentinel in the fight for justice. Anthropologist Blair Sandburg works side by side with Jim, helping him develop these senses."
"332","Spider Man","6.4","1978-1979",30,"Action, Adventure, Family","TV-PG",497,"Motorcyclist Takuya Yamashiro fights the evil forces of Professor Monster as the superhero Spiderman."
"333","Power Rangers Zeo","6.6","1996-1997",21,"Action, Adventure, Family","TV-Y7",2676,"Tommy, Billy, Adam, Rocky, Kat and Tanya are turned back to their teenage forms thanks to the Zeo Crystal. The Command Center is gone but the crystal leads them to the new Power Chamber and all but Billy take on new Zeo powers."
"334","Misfits of Science","7.4","1985-1986",60,"Adventure, Comedy, Sci-Fi",NA,1067,"The adventures of a team of misfit superheroes who fight crime for a scientific think tank."
"335","The Master","4.5","1984",60,"Adventure, Drama, Action",NA,1406,"An aging American ninja master and his headstrong young apprentice search for the elder man's daughter."
"336","The Cape","5.8","2011",60,"Action, Drama","TV-14",8439,"Vince Faraday is a cop who has been framed for murder, leading him to fall off the grid and become the super hero known only as ""The Cape."""
"337","Power Rangers Jungle Fury","6.6","2008",22,"Action, Adventure, Drama","TV-Y7",1717,"Three teenagers from the Pai Zhug Kung Fu Academy are chosen to fight the forces of an opposing academy and all other forces of evil."
"338","Power Rangers Mystic Force","6.7","2006",22,"Action, Adventure, Family","TV-Y7",2608,"Legend says when the darkness arises, five brave teen sorcerers will be called to fight for the planet's survival - with the guidance from their wise mentor and the ancient Xenotome, book ... See full summary »"
"339","Power Rangers Wild Force","6.3","2002-2003",30,"Action, Adventure, Drama","TV-Y7",2379,"Five teenagers are chosen by five Power Animals to become the Wild Force Rangers, to fight the evil Jinderax and Toxica and their evil Orgs."
"340","Power Rangers Ninja Storm","6.4","2003-2004",30,"Action, Adventure, Family","TV-Y7",2517,"A trio of ninja trainees become Power Rangers to defend their school after it is attacked by aliens."
"341","Werewolf","8","1987-1988",30,"Horror, Thriller",NA,878,"Young Eric has been bitten by a werewolf. However, he's not particularly thrilled by this turn of affairs and wishes to escape his curse. To do so, he must find and kill the founder of his ... See full summary »"
"342","The Champions","7.6","1968-1969",60,"Adventure, Sci-Fi, Thriller",NA,1195,"After a plane carrying three UN Agents crashes in the Himalayas, they are rescued by an advanced civilisation secretly living in Tibet who grant them enhanced versions of the ordinary five senses, and intellectual and physical abilities."
"343","The Awesomes","7.3","2013-2015",23,"Animation, Action, Comedy","TV-14",1429,"After the legendary Mr. Awesome retires as leader of his superhero task force, his not-so-super son Prock must assemble a team of funny-if-flawed misfits to restore the group to its former glory."
"344","Iron Man","6.7","1994-1996",30,"Animation, Action, Adventure","TV-Y7",3212,"Industrialist Tony Stark leads his private team of superheros as Iron Man against the forces of evil."
"345","Beware the Batman","7.3","2013-2014",22,"Animation, Action, Adventure","TV-PG",4176,"Batman, a crime-fighting vigilante of Gotham City, goes up against the underworld."
"346","Electra Woman and Dyna Girl","6.8","1976",24,"Sci-Fi",NA,434,"The adventures of two female superheroes."
"347","Star Wars: Droids","6","1985-1986",NA,"Animation, Action, Adventure",NA,1719,"The adventures of R2-D2 and C-3PO years before serving the Rebel Alliance. The series features several story arcs and one hour-long special."
"348","The Invisible Man","7.5","2000-2002",120,"Action, Comedy, Sci-Fi",NA,3172,"A thief and conman is given the means to become invisible, and ends up working for a government agency."
"349","Vixen","7.1","2015-2016",5,"Animation, Short, Action","TV-PG",3473,"Vixen is based on the DC Character Mari McCabe / Vixen, a costumed superhero crime-fighter with the power to mimic the abilities of any animal that has ever lived on Earth."
"350","The Epic Tales of Captain Underpants","6.7","2018-2020",24,"Animation, Short, Action","TV-Y7",860,"Best friends George and Harold scheme together a number of pranks at school involving their principal, whose alter ego is a superhero they created called Captain Underpants."
"351","Freakazoid!","7.5","1995-1997",30,"Animation, Short, Action","TV-G",7832,"Washington, D.C. has a new defender: Freakazoid. The comedy and insanity never stop when he's around, and he's only one of the weird heroes of the series. It's better than a nice tub of good things."
"352","Danger Mouse","7.4","1981-1992",25,"Animation, Comedy, Family","TV-Y",3467,"Danger Mouse, the greatest secret agent in the world, must follow Colonel K's orders (and try not to break Professor Squawkencluck's inventions) to foil Baron Greenback's and his henchman Stiletto's plans."
"353","Blue Thunder","6.2","1984",60,"Action, Crime, Drama",NA,1848,"An advanced prototype police helicopter and their ground support crew battle crime."
"354","Xiaolin Showdown","7.4","2003-2006",30,"Animation, Action, Adventure","TV-Y7",7054,"A young Xiaolin monk named Omi with a giant yellow head leads a trio of other students to collect powerful items known as Shen Gong Wu while battling the evil Jack Spicer who is also after the artifacts"
"355","Mummies Alive!","7.1","1997-1998",30,"Animation, Action, Adventure","TV-Y7",1289,"In present day US, a kid releases four ancient Egyptian mummy warriors who help him fight a revived Egyptian evil mummy sorcerer who wants to take over the world."
"356","Wolverine: Lost Chapters","7.4","2019-",28,"Action",NA,16,"After being shot in the head with an Adamantium bullet, Logan awakens with Amnesia and more questions than answers. These are the lost chapters of Logan's story, his dark and gritty journey... See full summary »"
"357","Fist of the North Star","8.3","1984-1988",25,"Animation, Action, Adventure","TV-14",3029,"In the year 199X, human civilization has been all but destroyed by a nuclear holocaust. In an age where the strong rule over the weak, the survivors of the fallout struggle over the ... See full summary »"
"358","The Scooby-Doo/Dynomutt Hour","7.6","1976-1978",24,"Animation, Adventure, Comedy","TV-G",3290,"Scooby Doo and the gang solve mysteries; then Blue Falcon and Dynomutt fight crime in each two-part episode of this animated series."
"359","Godzilla: The Series","6.8","1998-2001",30,"Animation, Action, Crime","TV-Y7",2408,"In this direct sequel to the 1998 Godzilla movie, Dr. Nico Tatopoulos leads a team, known as H.E.A.T, to battle giant monsters with the help of Godzilla's only living offspring."
"360","A Pup Named Scooby-Doo","6.8","1988-1991",30,"Animation, Adventure, Comedy","TV-G",5171,"A pre-teen version of Scooby Doo, with a pint-sized version of the title character."
"361","RoboCop: Prime Directives","4.7","2001",375,"Action, Crime, Sci-Fi","R",2563,"Thirteen years after the original Robocop, Delta City, considered to be ""The Safest Place On Earth!"", has become a futuristic city owned and operated by OCP, and RoboCop, Alex Murphy has ... See full summary »"
"362","Transformers: Robots in Disguise","6","2014-2020",22,"Animation, Action, Adventure","TV-Y7",1025,"When a new army of Decepticons appear, Bumblebee must lead a new team of Autobots to Earth against their eternal foes."
"363","Battle of the Planets","7.6","1978-1980",30,"Animation, Action, Adventure","TV-Y7",1948,"A five-member superhero team called G-Force fights to defend Earth and its space colonies from the threat of the planet Spectra."
"364","Green Lantern: The Animated Series","8","2011-2013",25,"Animation, Action, Adventure","TV-PG",6631,"The further adventures of Hal Jordan and his comrades of the Green Lantern Corps."
"365","Frisky Dingo","8.1","2006-2008",11,"Animation, Comedy, Sci-Fi","TV-MA",7255,"A philandering billionaire playboy who moonlights as the superhero, Awesome X, faces against his greatest adversary, Killface, but finds balancing his business and superhero lives difficult."
"366","Max Steel","6.7","2000-2015",23,"Animation, Action, Adventure","TV-Y7-FV",1091,"Now it's all up to Max. Can he infiltrate the Pantheon, find a cure that will restore Alex's humanity, free Rayne and Cytro, defeat the army of Terror Energy powered minions, and stop Terrorax once and for all?"
"367","Witchblade","7.1","2006",NA,"Animation, Action, Adventure","TV-MA",1415,"In order to protect her daughter, a young single mother is forced to fight after acquiring a powerful ancient weapon."
"368","M.A.N.T.I.S.","6.4","1994-1995",60,"Action, Sci-Fi","TV-G",733,"A paralyzed African-American scientist builds a powerful exo-skeleton in order to walk again, and uses his new abilities to fight crime."
"369","Justice League Action","7.6","2016-2018",11,"Animation, Action, Adventure","TV-Y7",2019,"Batman, Superman and Wonder Woman will lead the DC Super Heroes against their most infamous foes."
"370","V.R. Troopers","5.8","1994-1996",30,"Action, Adventure, Family","TV-Y7",1023,"A trio of teenagers gain powers from ""Virtual Reality"" to fight the evil forces of Grimlord."
"371","New Warriors","Not-Rated","TBA",30,"Action, Adventure, Comedy",NA,NA,"The adventures of a team of teenage superheroes."
"372","Bravest Warriors","8","2012-2018",5,"Animation, Action, Adventure","TV-PG",3419,"Four teenage heroes-for-hire warp through the universe to save adorable aliens and their worlds using the power of their emotions."
"373","The Mask","7","1995-1997",30,"Animation, Short, Action","TV-Y7",12392,"The further adventures of Stanley Ipkiss (Rob Paulsen) and his magic reality defying mask."
